,ID,SIT.BG.Traps,date_collection,date_release,sex,species,source,trap,number,days,treatment,lat.r,lon.r,lat.t,lon.t,distance
883,pink 2,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,2,0,1,release,29.898728,-81.301494,29.89888889,-81.3025,98.72092932
905,pink 2,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,2,0,15,release,29.898728,-81.301494,29.89888889,-81.3025,98.72092932
906,pink 2,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,2,0,3,release,29.898728,-81.301494,29.89888889,-81.3025,98.72092932
914,pink 3,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,3,0,9,release,29.898728,-81.301494,29.89972222,-81.3025,147.2214632
916,pink 3,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,3,0,7,release,29.898728,-81.301494,29.89972222,-81.3025,147.2214632
918,pink 3,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,3,0,1,release,29.898728,-81.301494,29.89972222,-81.3025,147.2214632
940,pink 3,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,3,0,15,release,29.898728,-81.301494,29.89972222,-81.3025,147.2214632
941,pink 3,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,3,0,3,release,29.898728,-81.301494,29.89972222,-81.3025,147.2214632
949,pink 4,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,4,0,9,release,29.898728,-81.301494,29.9,-81.30083333,155.2901273
951,pink 4,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,4,0,7,release,29.898728,-81.301494,29.9,-81.30083333,155.2901273
953,pink 4,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,4,0,1,release,29.898728,-81.301494,29.9,-81.30083333,155.2901273
975,pink 4,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,4,0,15,release,29.898728,-81.301494,29.9,-81.30083333,155.2901273
976,pink 4,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,4,0,3,release,29.898728,-81.301494,29.9,-81.30083333,155.2901273
984,pink 5,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,5,0,9,release,29.898728,-81.301494,29.9,-81.29972222,222.0023678
986,pink 5,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,5,0,7,release,29.898728,-81.301494,29.9,-81.29972222,222.0023678
988,pink 5,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,5,0,1,release,29.898728,-81.301494,29.9,-81.29972222,222.0023678
1010,pink 5,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,5,0,15,release,29.898728,-81.301494,29.9,-81.29972222,222.0023678
1011,pink 5,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,5,0,3,release,29.898728,-81.301494,29.9,-81.29972222,222.0023678
1019,pink 6,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,6,0,9,release,29.898728,-81.301494,29.89944444,-81.29888889,263.7491167
1021,pink 6,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,6,0,7,release,29.898728,-81.301494,29.89944444,-81.29888889,263.7491167
1023,pink 6,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,6,0,1,release,29.898728,-81.301494,29.89944444,-81.29888889,263.7491167
1045,pink 6,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,6,0,15,release,29.898728,-81.301494,29.89944444,-81.29888889,263.7491167
1046,pink 6,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,6,0,3,release,29.898728,-81.301494,29.89944444,-81.29888889,263.7491167
1054,pink 7,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,7,0,9,release,29.898728,-81.301494,29.89833333,-81.29916667,228.8532687
1056,pink 7,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,7,0,7,release,29.898728,-81.301494,29.89833333,-81.29916667,228.8532687
1058,pink 7,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,7,0,1,release,29.898728,-81.301494,29.89833333,-81.29916667,228.8532687
1080,pink 7,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,7,0,15,release,29.898728,-81.301494,29.89833333,-81.29916667,228.8532687
1081,pink 7,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,7,0,3,release,29.898728,-81.301494,29.89833333,-81.29916667,228.8532687
1089,pink 8,Ae. aegypti - Pink,5/24/2018,5/15/2018,male,Ae. Aegypti,pink,8,0,9,release,29.898728,-81.301494,29.89944444,-81.30027778,141.9021611
1091,pink 8,Ae. aegypti - Pink,5/22/2018,5/15/2018,male,Ae. Aegypti,pink,8,0,7,release,29.898728,-81.301494,29.89944444,-81.30027778,141.9021611
1093,pink 8,Ae. aegypti - Pink,5/16/2018,5/15/2018,male,Ae. Aegypti,pink,8,0,1,release,29.898728,-81.301494,29.89944444,-81.30027778,141.9021611
1115,pink 8,Ae. aegypti - Pink,5/30/2018,5/15/2018,male,Ae. Aegypti,pink,8,0,15,release,29.898728,-81.301494,29.89944444,-81.30027778,141.9021611
1116,pink 8,Ae. aegypti - Pink,5/18/2018,5/15/2018,male,Ae. Aegypti,pink,8,0,3,release,29.898728,-81.301494,29.89944444,-81.30027778,141.9021611
